6호선,대흥(서강대앞),18,1,2733,1070,5559,3993,14476,13133,21845,33542,13282,20446,10273,12936,10663,10779,12731,12941,13080,13264,12791,12794,13605,11997,16481,14112,20611,16323,28901,24143,14084,18218,10806,10652,11793,9613,10678,9848,4449,7496,685,2117,5,7,0,0,0,0
7호선,도봉산,34,0,4571,810,16472,6028,55190,7380,41124,12003,22111,14960,14312,16296,12403,11873,13048,11034,12592,12216,11999,12390,12055,13442,13639,16524,14542,21073,12771,33603,7819,42173,4717,25703,3378,23548,2629,23808,1095,17913,194,7104,2,1269,0,0,0,0
6호선,녹사평(용산구청),22,0,1727,459,2665,4502,5276,8963,8996,15568,7225,8566,6013,7482,6322,7720,7121,10059,7979,10175,8361,10874,9734,9916,12775,12603,14958,14791,19602,20529,13825,15766,12604,9043,14196,7016,14708,5989,8045,4614,954,1397,0,0,0,0,0,0
5호선,영등포시장,1,0,2971,987,5527,5741,18280,13065,26762,38694,13341,21741,10799,16190,11864,16084,12627,18264,13439,22513,14206,19363,17511,15011,22347,14949,27473,17333,37776,27850,18918,18673,14364,11331,12382,10559,8607,10288,3919,6680,531,1700,0,0,0,0,0,0
경춘선,백양리,0,0,43,28,57,197,79,501,155,444,185,226,472,508,1094,295,410,299,366,304,260,232,342,216,325,207,516,183,347,116,177,149,100,116,93,99,59,72,16,69,5,12,0,0,0,0,0,0
경의선,가좌,6,0,2858,340,7272,3341,18555,3598,23475,7794,12001,6876,9406,6025,8442,5198,8859,7279,7877,7164,7377,7661,7370,8443,8806,9548,9361,12149,9682,15806,5874,14871,4281,8881,3632,7902,2558,5847,1132,5372,42,1123,0,0,0,0,0,0
경부선,성환,55,0,2102,754,3171,2641,6318,8769,7757,12306,6634,9127,7209,5601,6808,4995,6980,5717,6862,5469,8307,4750,10993,5186,8822,7104,11030,7188,11022,7704,5420,8078,4767,6520,3214,6227,1505,4759,775,4283,80,701,0,0,0,0,0,0
수인선,월곶,6,0,1187,323,3398,2182,8621,2578,7651,2713,4774,2752,3834,3014,3666,3854,3982,3468,4063,3240,3803,3288,3698,3575,4721,4083,4865,5656,6110,8220,3832,5873,2877,4644,2504,4296,1410,4003,917,2742,22,625,0,0,0,0,0,0
6호선,광흥창(서강),9,0,2875,1531,7351,5797,17875,17342,25366,41516,17029,20963,13540,13473,14932,10929,16052,11642,14388,11900,13109,11118,15008,11894,16817,13813,22122,15290,34862,22776,16944,18254,10945,11886,10087,10762,7840,10258,3381,7181,411,1993,0,3,0,0,0,0
경부선,평택,261,2,8216,3278,15149,9390,27471,17260,28593,22238,23247,20006,25510,20898,21141,21639,22675,21982,23109,24579,22269,21837,24977,26190,28668,28201,33227,35107,32125,37652,23659,28964,25404,23207,17340,21554,13281,17694,7057,9978,261,1883,1,1,0,0,0,0
3호선,약수,106,2,7126,1174,11601,5989,27621,14830,42881,35894,30426,26055,21923,18044,20800,16577,23003,17208,23424,19051,21938,19052,22690,20086,24010,24178,28448,30695,37055,44741,22839,33122,17721,21761,16937,20535,13897,19652,6307,12954,1007,4750,1,641,0,0,0,0
8호선,복정,4,0,4213,2131,12245,9172,34466,12108,44006,19975,25367,12955,16240,9334,14331,8027,14795,10124,14092,9358,14564,10380,15321,11050,16832,13681,22515,19290,26862,32474,16206,27694,11266,19039,8666,16937,8359,15767,3047,7638,479,1741,0,0,0,0,0,0
